RUN_UTC=2026-09-05T18:06:40Z
BTTS FAST EXISTING | 2026-09-05 | targets=73 db_fixtures=1575
POLICY | V2.9.1 + V2.9.9 | odds excluded | existing predictions only
EXCLUDED | Monagas II vs Aragua FC | match=0.92
EXCLUDED | Sport Huancayo vs Sport Boys | match=1.00
EXCLUDED | Deportivo Maldonado vs Wanderers | match=1.00
MISSING | Everton vs Universidad Catolica | best=0.65
EXCLUDED | Portuguesa FC vs Zamora FC | match=1.00
EXCLUDED | CS Herediano vs Perez Zeledon | match=0.93
EXCLUDED | Cusco vs UCV Moquegua | match=0.90
EXCLUDED | Universidad de Chile vs Coquimbo Unido | match=0.86
MISSING | Atletico Morelia vs Alebrijes Oaxaca | best=0.62
MISSING | Jaiba Brava vs Venados | best=0.64
EXCLUDED | Universitario vs Comerciantes Unidos | match=1.00
EXCLUDED | LD Alajuelense vs Deportivo Saprissa | match=0.94

RANKED
B | Union Omaha vs Charlotte Independence | rank=137.58 raw=75.3 prob=0.711 weak=0.747 cal=0.711 cons=0.741 emp=0.800 maxFTS=0.100 minL5scored=4/5 v291=PASS v299A=BLOCK:v299_a_weak_leg_probability v299B=PASS match=1.00
X | Villarreal vs Deportivo La Coruna | rank=61.36 raw=45.2 prob=0.492 weak=0.766 cal=0.492 cons=0.630 emp=0.700 maxFTS=0.200 minL5scored=4/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:v291_model_disagreement match=1.00
X | Sporting JAX vs Lexington | rank=61.06 raw=100.0 prob=0.736 weak=0.673 cal=0.712 cons=0.676 emp=0.600 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | San Luis vs Cobreloa | rank=60.41 raw=52.5 prob=0.527 weak=0.766 cal=0.527 cons=0.625 emp=0.600 maxFTS=0.200 minL5scored=4/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:v291_model_disagreement match=1.00
X | Rhode Island vs Louisville City | rank=59.37 raw=60.0 prob=0.590 weak=0.814 cal=0.590 cons=0.640 emp=0.450 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:home_v29_overall_recent_scoring match=1.00
X | Dunajska Streda vs Slovan Bratislava | rank=56.96 raw=42.7 prob=0.592 weak=0.759 cal=0.592 cons=0.584 emp=0.261 maxFTS=0.100 minL5scored=5/5 v291=BLOCK:away_v291_a_outlier_conversion v299A=BLOCK:away_v291_a_outlier_conversion v299B=BLOCK:v29_calibrated_floor match=1.00
X | Alta vs One Knoxville | rank=56.31 raw=52.9 prob=0.531 weak=0.739 cal=0.531 cons=0.608 emp=0.550 maxFTS=0.300 minL5scored=3/5 v291=BLOCK:v291_a_model_disagreement v299A=BLOCK:v291_a_model_disagreement v299B=BLOCK:v291_model_disagreement match=0.86
X | Atletico San Luis vs Guadalajara Chivas | rank=56.17 raw=48.5 prob=0.519 weak=0.673 cal=0.519 cons=0.589 emp=0.600 maxFTS=0.200 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.88
X | Monterey Bay vs Phoenix Rising | rank=55.64 raw=63.6 prob=0.620 weak=0.634 cal=0.620 cons=0.616 emp=0.578 maxFTS=0.300 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
